count,pattern_len,text_len,dictionary_len,function,time[ns]
0,6,100,5,sundays_search,12400
0,6,100,5,kmp_search,15000
0,6,100,5,python_naive_search,10700
0,7,100,5,naive_search,22600
0,7,100,5,sundays_search,13400
0,7,100,5,kmp_search,14900
0,7,100,5,python_naive_search,10500
0,8,100,5,naive_search,21100
0,8,100,5,sundays_search,12200
0,8,100,5,kmp_search,15400
0,8,100,5,python_naive_search,10000
0,9,100,5,naive_search,21400
0,9,100,5,sundays_search,10200
0,9,100,5,kmp_search,14500
0,9,100,5,python_naive_search,10400
0,10,100,5,naive_search,20700
0,10,100,5,sundays_search,11200
0,10,100,5,kmp_search,15300
0,10,100,5,python_naive_search,9900
0,11,100,5,naive_search,21400
0,11,100,5,sundays_search,10000
0,11,100,5,kmp_search,13800
0,11,100,5,python_naive_search,10000
0,5,150,5,naive_search,32300
0,5,150,5,sundays_search,20400
0,5,150,5,kmp_search,20400
0,5,150,5,python_naive_search,14200
0,6,150,5,naive_search,33200
0,6,150,5,sundays_search,17900
0,6,150,5,kmp_search,19500
0,6,150,5,python_naive_search,14000
0,7,150,5,naive_search,32500
0,7,150,5,sundays_search,15300
0,7,150,5,kmp_search,20000
0,7,150,5,python_naive_search,14100
0,8,150,5,naive_search,32400
0,8,150,5,sundays_search,14800
0,8,150,5,kmp_search,20200
0,8,150,5,python_naive_search,13300
0,9,150,5,naive_search,33300
0,9,150,5,sundays_search,15800
0,9,150,5,kmp_search,20800
0,9,150,5,python_naive_search,14000
0,10,150,5,naive_search,31700
0,10,150,5,sundays_search,18300
0,10,150,5,kmp_search,20400
0,10,150,5,python_naive_search,13600
0,11,150,5,naive_search,31600
0,11,150,5,sundays_search,19100
0,11,150,5,kmp_search,21500
0,11,150,5,python_naive_search,13400
0,5,200,5,naive_search,41600
0,5,200,5,sundays_search,18800
0,5,200,5,kmp_search,25000
0,5,200,5,python_naive_search,18000
0,6,200,5,naive_search,42400
0,6,200,5,sundays_search,17400
0,6,200,5,kmp_search,23300
0,6,200,5,python_naive_search,17600
0,7,200,5,naive_search,45700
0,7,200,5,sundays_search,20300
0,7,200,5,kmp_search,25000
0,7,200,5,python_naive_search,17900
0,8,200,5,naive_search,41500
0,8,200,5,sundays_search,17000
0,8,200,5,kmp_search,25900
0,8,200,5,python_naive_search,17000
0,9,200,5,naive_search,42200
0,9,200,5,sundays_search,18600
0,9,200,5,kmp_search,26600
0,9,200,5,python_naive_search,20200
0,10,200,5,naive_search,40600
0,10,200,5,sundays_search,18200
0,10,200,5,kmp_search,25700
0,10,200,5,python_naive_search,16900
0,11,200,5,naive_search,41800
0,11,200,5,sundays_search,16200
0,11,200,5,kmp_search,26100
0,11,200,5,python_naive_search,17100
0,5,250,5,naive_search,53500
0,5,250,5,sundays_search,27200
0,5,250,5,kmp_search,30400
0,5,250,5,python_naive_search,21900
0,6,250,5,naive_search,53200
0,6,250,5,sundays_search,27500
0,6,250,5,kmp_search,31000
0,6,250,5,python_naive_search,21700
0,7,250,5,naive_search,52700
0,7,250,5,sundays_search,21200
0,7,250,5,kmp_search,30800
0,7,250,5,python_naive_search,21600
0,8,250,5,naive_search,51700
0,8,250,5,sundays_search,23000
0,8,250,5,kmp_search,27700
0,8,250,5,python_naive_search,20600
0,9,250,5,naive_search,53200
0,9,250,5,sundays_search,18000
0,9,250,5,kmp_search,29100
0,9,250,5,python_naive_search,21700
0,10,250,5,naive_search,52300
0,10,250,5,sundays_search,21500
0,10,250,5,kmp_search,33800
0,10,250,5,python_naive_search,21000
0,11,250,5,naive_search,53300
0,11,250,5,sundays_search,21500
0,11,250,5,kmp_search,31200
0,11,250,5,python_naive_search,21200
0,5,300,5,naive_search,64200
0,5,300,5,sundays_search,34200
0,5,300,5,kmp_search,36100
0,5,300,5,python_naive_search,26300
0,6,300,5,naive_search,65600
0,6,300,5,sundays_search,29400
0,6,300,5,kmp_search,36700
0,6,300,5,python_naive_search,26900
0,7,300,5,naive_search,66000
0,7,300,5,sundays_search,23800
0,7,300,5,kmp_search,37700
0,7,300,5,python_naive_search,26300
0,8,300,5,naive_search,62900
0,8,300,5,sundays_search,22700
0,8,300,5,kmp_search,33000
0,8,300,5,python_naive_search,25100
0,9,300,5,naive_search,65000
0,9,300,5,sundays_search,31200
0,9,300,5,kmp_search,37800
0,9,300,5,python_naive_search,27200
0,10,300,5,naive_search,63600
0,10,300,5,sundays_search,25300
0,10,300,5,kmp_search,37300
0,10,300,5,python_naive_search,25100
0,11,300,5,naive_search,63300
0,11,300,5,sundays_search,25300
0,11,300,5,kmp_search,37500
0,11,300,5,python_naive_search,26000
0,5,350,5,naive_search,75800
0,5,350,5,sundays_search,39200
0,5,350,5,kmp_search,42000
0,5,350,5,python_naive_search,31400
0,6,350,5,naive_search,76300
0,6,350,5,sundays_search,31700
0,6,350,5,kmp_search,41600
0,6,350,5,python_naive_search,32100
0,7,350,5,naive_search,74100
0,7,350,5,sundays_search,31800
0,7,350,5,kmp_search,41300
0,7,350,5,python_naive_search,32800
0,8,350,5,naive_search,76900
0,8,350,5,sundays_search,32600
0,8,350,5,kmp_search,42700
0,8,350,5,python_naive_search,31700
0,9,350,5,naive_search,77900
0,9,350,5,sundays_search,26500
0,9,350,5,kmp_search,43700
0,9,350,5,python_naive_search,31200
0,10,350,5,naive_search,74900
0,10,350,5,sundays_search,26000
0,10,350,5,kmp_search,53700
0,10,350,5,python_naive_search,31000
0,11,350,5,naive_search,75500
0,11,350,5,sundays_search,30200
0,11,350,5,kmp_search,42500
0,11,350,5,python_naive_search,31200
0,5,400,5,naive_search,85100
0,5,400,5,sundays_search,36900
0,5,400,5,kmp_search,49600
0,5,400,5,python_naive_search,35100
0,6,400,5,naive_search,89500
0,6,400,5,sundays_search,34500
0,6,400,5,kmp_search,47900
0,6,400,5,python_naive_search,35100
0,7,400,5,naive_search,87800
0,7,400,5,sundays_search,30100
0,7,400,5,kmp_search,43200
0,7,400,5,python_naive_search,35200
0,8,400,5,naive_search,85400
0,8,400,5,sundays_search,43500
0,8,400,5,kmp_search,49200
0,8,400,5,python_naive_search,33200
0,9,400,5,naive_search,86800
0,9,400,5,sundays_search,45700
0,9,400,5,kmp_search,56800
0,9,400,5,python_naive_search,35600
0,10,400,5,naive_search,94500
0,10,400,5,sundays_search,28800
0,10,400,5,kmp_search,49100
0,10,400,5,python_naive_search,34000
0,11,400,5,naive_search,86600
0,11,400,5,sundays_search,27700
0,11,400,5,kmp_search,49300
0,11,400,5,python_naive_search,34200
0,5,450,5,naive_search,98800
0,5,450,5,sundays_search,39500
0,5,450,5,kmp_search,52800
0,5,450,5,python_naive_search,38300
0,6,450,5,naive_search,99200
0,6,450,5,sundays_search,57600
0,6,450,5,kmp_search,61200
0,6,450,5,python_naive_search,48800
0,7,450,5,naive_search,102900
0,7,450,5,sundays_search,39900
0,7,450,5,kmp_search,47900
0,7,450,5,python_naive_search,39900
0,8,450,5,naive_search,99000
0,8,450,5,sundays_search,49700
0,8,450,5,kmp_search,53300
0,8,450,5,python_naive_search,50100
0,9,450,5,naive_search,100300
0,9,450,5,sundays_search,32900
0,9,450,5,kmp_search,54100
0,9,450,5,python_naive_search,39800
0,10,450,5,naive_search,98600
0,10,450,5,sundays_search,37600
0,10,450,5,kmp_search,55100
0,10,450,5,python_naive_search,37700
0,11,450,5,naive_search,99600
0,11,450,5,sundays_search,36200
0,11,450,5,kmp_search,54300
0,11,450,5,python_naive_search,38500
0,5,500,5,naive_search,108100
0,5,500,5,sundays_search,68800
0,5,500,5,kmp_search,58300
0,5,500,5,python_naive_search,42500
0,6,500,5,naive_search,108900
0,6,500,5,sundays_search,43200
0,6,500,5,kmp_search,58000
0,6,500,5,python_naive_search,43300
0,7,500,5,naive_search,113400
0,7,500,5,sundays_search,35800
0,7,500,5,kmp_search,58300
0,7,500,5,python_naive_search,43300
0,8,500,5,naive_search,108600
0,8,500,5,sundays_search,41300
0,8,500,5,kmp_search,60100
0,8,500,5,python_naive_search,41700
0,9,500,5,naive_search,108700
0,9,500,5,sundays_search,52500
0,9,500,5,kmp_search,54000
0,9,500,5,python_naive_search,42700
0,10,500,5,naive_search,107700
0,10,500,5,sundays_search,40600
0,10,500,5,kmp_search,54400
0,10,500,5,python_naive_search,42200
0,11,500,5,naive_search,108400
0,11,500,5,sundays_search,36100
0,11,500,5,kmp_search,59700
0,11,500,5,python_naive_search,42800
0,5,550,5,naive_search,122300
0,5,550,5,sundays_search,49300
0,5,550,5,kmp_search,64300
0,5,550,5,python_naive_search,49800
0,6,550,5,naive_search,125000
0,6,550,5,sundays_search,49900
0,6,550,5,kmp_search,65100
0,6,550,5,python_naive_search,49700
0,7,550,5,naive_search,118900
0,7,550,5,sundays_search,50500
0,7,550,5,kmp_search,62500
0,7,550,5,python_naive_search,49900
0,8,550,5,naive_search,120700
0,8,550,5,sundays_search,51300
0,8,550,5,kmp_search,67300
0,8,550,5,python_naive_search,47800
0,9,550,5,naive_search,123200
0,9,550,5,sundays_search,49400
0,9,550,5,kmp_search,65700
0,9,550,5,python_naive_search,50600
